Unidade de Conservação ,NGI,GR,Incêndio (ha),Queima prescrita (ha),Queima controlada (ha),Aceiro (ha),Fogo natural (ha),Indígenas isolados (ha) ,Total Prevenção (ha) ,Total Combate (ha) ,Área TOTAL (ha),Área UC (ha),% de AAF na UC
APA Cavernas do Peruaçu,Núcleo de Gestão Integrada - ICMBio Peruaçu,GR 4 - SUDESTE,"437,59","0,00","0,00","0,00","0,00","0,00","0,00","437,59","437,59","115.209,66","0,38"
APA da Bacia do Rio Descoberto,Núcleo de Gestão Integrada - ICMBio Descoberto-Brasília,GR 3 - CENTRO-OESTE,"1.452,76","6,99","0,00","0,18","0,00","0,00","7,17","1.452,76","1.459,93","36.159,77","4,04"
APA da Bacia do Rio Paraíba do Sul,Núcleo de Gestão Integrada - ICMBio Rio Paraíba do Sul,GR 4 - SUDESTE,"224,06","0,00","0,00","0,00","0,00","0,00","0,00","224,06","224,06","292.597,84","0,08"
APA da Bacia do Rio São Bartolomeu,-,GR 3 - CENTRO-OESTE,"2,62","0,00","0,00","0,00","0,00","0,00","0,00","2,62","2,62","82.680,11","0,00"
APA da Bacia do Rio São João/Mico-Leão-Dourado,Núcleo de Gestão Integrada - ICMBio Mico-Leão-Dourado,GR 4 - SUDESTE,"42,05","0,00","0,00","0,00","0,00","0,00","0,00","42,05","42,05","147.899,67","0,03"
APA da Baleia Franca,-,GR 5 - SUL,"258,55","0,00","0,00","0,00","0,00","0,00","0,00","258,55","258,55","154.868,38","0,17"
APA da Região Serrana de Petrópolis,Núcleo de Gestão Integrada - ICMBio Serra Fluminense,GR 4 - SUDESTE,"419,35","0,00","0,00","0,00","0,00","0,00","0,00","419,35","419,35","48.942,53","0,86"
APA da Serra da Mantiqueira,Núcleo de Gestão Integrada - ICMBio Mantiqueira,GR 4 - SUDESTE,"1.080,42","0,00","0,00","0,00","0,00","0,00","0,00","1.080,42","1.080,42","419.483,41","0,26"
APA das Ilhas e Várzeas do Rio Paraná,Núcleo de Gestão Integrada - ICMBio Rio Paraná,GR 5 - SUL,"107.096,35","247,21","0,00","0,00","0,00","0,00","247,21","107.096,35","107.343,56","929.043,50","11,55"
APA das Nascentes do Rio Vermelho,Núcleo de Gestão Integrada - ICMBio Mambaí,GR 3 - CENTRO-OESTE,"637,58","0,00","0,00","0,00","0,00","0,00","0,00","637,58","637,58","173.967,45","0,37"
APA do Planalto Central,-,GR 3 - CENTRO-OESTE,"12.235,50","151,73","0,00","22,23","0,00","0,00","173,96","12.235,50","12.409,46","484.511,59","2,56"
APA do Tapajós,UNA Itaituba,GR 1 - NORTE,"0,53","0,00","0,00","0,00","0,00","0,00","0,00","0,53","0,53","2.040.336,12","0,00"
